username,user_url,title,view_num,created_at,video_url,shortdesc,collected_at,img_url
VICE,/user/vice,What Really Happened at Standing Rock | I Was There,703K,6 months,/watch?v=J1yD2J8vHAk,"In 2016, indigenous water protectors and their allies gathered at Standing Rock to oppose the construction of the Dakota Access ...",2021-04-14 14:19:06.654428,https://i.ytimg.com/vi/J1yD2J8vHAk/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD971tUjdEiOjhBjJ_uKhYvXsR2dA
Taboo,/channel/UC5aqukzSeAj9etVpQpct88A,Stand Up / Stand N Rock #NoDAPL (Official Video),2.8M,4 years,/watch?v=Onyk7guvHK8,"Hip Hop Caucus, creator of People's Climate Music, has partnered with Taboo, solo Hip Hop artist and member of the Grammy ...",2021-04-14 14:19:06.655426,https://i.ytimg.com/vi/Onyk7guvHK8/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCLNq4zx-NreBexV0rLUYnxT4ImhA
Vox,/user/voxdotcom,"The fight over the Dakota Access Pipeline, explained",396K,4 years,/watch?v=qJZ1-LAFOTo,How Native Americans and environmentalists stopped a $3.8 billion oil pipeline. Subscribe to our channel! http://goo.gl/0bsAjO ...,2021-04-14 14:19:06.657421,https://i.ytimg.com/vi/qJZ1-LAFOTo/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLByYB70frefU8ZBMHNXMRqkmlLNWA
TED,/user/TEDtalksDirector,The Standing Rock resistance and our fight for indigenous rights | Tara Houska,111K,2 years,/watch?v=wD3-6JIUF7M,"Still invisible and often an afterthought, indigenous peoples are uniting to protect the world's water, lands and history -- while ...",2021-04-14 14:19:06.660414,https://i.ytimg.com/vi/wD3-6JIUF7M/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBaekzeBlU-0W3gMFRbCSEt5DHIKQ
Cray Novick,/channel/UCrFazgm3d1cNLGqVXNHHT5g,Water Protectors -- Standing Rock 2020,2.2K,4 months,/watch?v=ply14OGxq5Q,"Mni Wconi -- water is life. This film is a rallying cry for us all to be called as water protectors, as protectors of life on planet earth.",2021-04-14 14:19:06.661411,https://i.ytimg.com/vi/ply14OGxq5Q/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDKDx7RA0gbe68yjRffMoCvKX-SWw
Yolanda Pushetonequa,/channel/UCmOES9NqszZi5PKdaoTLPhQ,Standing Rock by Trevor Hall with footage #NoDAPL #StandingRock,320K,4 years,/watch?v=dyzzEnRR8f8,New video with footage. Pulled from Buzzfeed. Original youtube video without footage was originally uploaded 8-31-16 and its ...,2021-04-14 14:19:06.663405,https://i.ytimg.com/vi/dyzzEnRR8f8/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAvp7SjUTRN_7J1LepdFzXLKtnKUA
Jukin Media,/user/JukinMedia,This is Happening | Dakota Access Pipeline protests,25K,2 years,/watch?v=cQZF7V6uEsI,This Episode takes a fresh look at the impassioned events at Standing Rock — the longest running protest in modern history ...,2021-04-14 14:19:06.663405,https://i.ytimg.com/vi/cQZF7V6uEsI/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBbjhRfN75x3xJ-t8rKlS1bWvrXFA
Reveal,/user/theifilestv,One Year at Standing Rock,34K,4 years,/watch?v=Yb9HHtye1Tk,Jasilyn Charger was one of the first people to set up camp at the Standing Rock Sioux Reservation in April 2016. Along with youth ...,2021-04-14 14:19:12.547510,https://i.ytimg.com/vi/Yb9HHtye1Tk/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBv3F7Vc9q0PS-HpjC3oEKV1Rseyg
Mr. Catfysh,/user/zxeros,Trevor Hall - Standing Rock,256K,4 years,/watch?v=KskC6Qd1DOk,A video and picture compilation set to Trevor Hall's song Standing Rock. #NODAPL.,2021-04-14 14:19:12.549505,https://i.ytimg.com/vi/KskC6Qd1DOk/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA2BQYQKRqHipaUGQ4g2kn4s54Irw
Bullfrog Films,/user/bullfrogfilms,"Bullfrog Films presents...AWAKE, A DREAM FROM STANDING ROCK",22K,3 years,/watch?v=Czd-VP6dlxA,"A film by Josh Fox, James Spione, and Myron Dewey Available for educational use from Bullfrog Films: ...",2021-04-14 14:19:12.551500,https://i.ytimg.com/vi/Czd-VP6dlxA/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD_FmRAO5PMAoho5o9WEVg8x6eEcA
JRE Clips,/channel/UCnxGkOGNMqQEUMvroOWps6Q,Dr. Cornel West On His Experiences at Standing Rock,39K,1 year,/watch?v=eKy-QC6g1nw,Taken from Joe Rogan Experience #1325 w/Dr. Cornel West: https://youtu.be/ViWvAnvT17c.,2021-04-14 14:19:12.552497,https://i.ytimg.com/vi/eKy-QC6g1nw/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBJSDuCekPjNdz03GU0R2Ojg_5rKQ
